기준년월,시설분류,시설ID,시설명,시도,시군구,행정동,주소,경도,위도,내국인방문수,여성비율,남성비율,외국인비율,평일비율,주말비율,오전비율,오후비율,아침비율,오후1비율,오후2비율,문화의날비율,문화평일비율,20_30대비율,40_50대비율,60대이상비율,여_10대미만비율,남_10대미만비율,여_10대비율,남_10대비율,여_20대비율,남_20대비율,여_30대비율,남_30대비율,여_40대비율,남_40대비율,여_50대비율,남_50대비율,여_60대비율,남_60대비율,여_70대이상비율,남_70대이상비율,키즈맘비율,1인가구비율,2인가구비율,거주자비율,관광객비율,재방문비율,교차방문비율,월3일이상비율,월3회이상비율,6개월10일이상비율,6개월10회이상비율,주말체류시간,평일체류시간,카드_남_20대비율,카드_남_30대비율,카드_남_40대비율,카드_남_50대비율,카드_남_60대비율,카드_남_70대비율,카드_여_20대비율,카드_여_30대비율,카드_여_40대비율,카드_여_50대비율,카드_여_60대비율,카드_여_70대비율,카드_외국인비율,저소득비율,중소득비율,고소득비율,미혼점수,기혼점수,결혼경험점수,출산경험점수,미취학자녀점수,중고생자녀점수,대학생자녀점수,자녀결혼경험점수,전업주부점수,초등자녀점수,건강관리관심점수,홈스쿨교육관심점수,자녀교육관심점수,프리미엄소비성향,가격민감소비성향,문화이벤트관심점수,얼리어답터성향,아웃도어관심점수,국내여행관심점수,해외여행관심점수,반려동물점수,액티브시니어점수,디지털성향점수,주말카드비율,평일카드비율,시간_0시비율,시간_1시비율,시간_2시비율,시간_3시비율,시간_4시비율,시간_5시비율,시간_6시비율,시간_7시비율,시간_8시비율,시간_9시비율,시간_10시비율,시간_11시비율,시간_12시비율,시간_13시비율,시간_14시비율,시간_15시비율,시간_16시비율,시간_17시비율,시간_18시비율,시간_19시비율,시간_20시비율,시간_21시비율,시간_22시비율,시간_23시비율,시간_09_13비율,시간_14_18비율,시간_09_11비율,시간_12_14비율,시간_15_18비율,요일_1비율,요일_2비율,요일_3비율,요일_4비율,요일_5비율,요일_6비율,요일_7비율
202408,예술센터,16940743,더페이지갤러리,서울특별시,성동구,성수동1가,서울특별시 성동구 서울숲2길 32-14,127.0429416,37.5455237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056,0.172,0.132,0.091,0.034,0.01,0.085,0.155,0.094,0.069,0.022,0.009,0.026,0.436,0.307,0.186,260.49,739.51,110.386,119.526,180.248,241.999,205.963,108.157,224.311,366.922,87.726,59.561,209.197,452.829,144.355,291.774,159.408,115.545,21.677,23.298,328.312,405.27,653.096,0.272,0.728,0.006,0.003,0.002,0.001,0.001,0.002,0.004,0.013,0.042,0.043,0.039,0.08,0.154,0.109,0.075,0.065,0.059,0.057,0.066,0.065,0.052,0.031,0.02,0.011,0.425,0.321,0.162,0.338,0.247,0.129,0.137,0.138,0.169,0.183,0.148,0.096
202409,예술센터,16940743,더페이지갤러리,서울특별시,성동구,성수동1가,서울특별시 성동구 서울숲2길 32-14,127.0429416,37.5455237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,0.172,0.131,0.086,0.033,0.01,0.088,0.159,0.095,0.068,0.023,0.008,0.03,0.433,0.307,0.188,264.372,735.628,109.829,122.535,184.712,239.151,199.286,105.218,227.673,363.433,87.472,60.916,210.999,459.9,145.213,298.659,161.754,115.567,25.051,25.52,329.038,398.21,654.952,0.351,0.649,0.006,0.003,0.002,0.001,0.001,0.002,0.004,0.012,0.038,0.04,0.04,0.078,0.149,0.109,0.077,0.069,0.063,0.059,0.068,0.066,0.05,0.03,0.02,0.011,0.416,0.338,0.158,0.335,0.261,0.165,0.125,0.133,0.137,0.144,0.139,0.157
202410,예술센터,16940743,더페이지갤러리,서울특별시,성동구,성수동1가,서울특별시 성동구 서울숲2길 32-14,127.0429416,37.5455237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053,0.161,0.126,0.087,0.032,0.009,0.092,0.162,0.099,0.071,0.025,0.008,0.033,0.43,0.309,0.187,263.185,736.815,108.579,121.528,184.499,242.963,205.366,108.304,235.232,365.039,88.212,60.455,212.692,453.625,146.228,294.154,158.331,114.584,25.482,25.463,329.485,397.384,654.483,0.341,0.659,0.006,0.003,0.002,0.001,0.001,0.002,0.004,0.011,0.036,0.038,0.039,0.076,0.153,0.117,0.085,0.073,0.064,0.059,0.067,0.061,0.046,0.028,0.018,0.01,0.423,0.348,0.153,0.355,0.263,0.123,0.156,0.169,0.17,0.138,0.135,0.11
202411,예술센터,16940743,더페이지갤러리,서울특별시,성동구,성수동1가,서울특별시 성동구 서울숲2길 32-14,127.0429416,37.5455237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053,0.159,0.129,0.09,0.035,0.009,0.086,0.16,0.095,0.074,0.025,0.008,0.032,0.431,0.305,0.189,258.621,741.379,105.555,119.984,180.927,243.235,210.734,112.028,232.376,369.605,89.136,60.527,212.922,458.8,144.556,287.437,161.739,114.74,24.909,25.11,328.201,403.289,650.055,0.286,0.714,0.006,0.003,0.002,0.001,0.001,0.002,0.004,0.011,0.036,0.039,0.04,0.081,0.156,0.119,0.084,0.072,0.063,0.058,0.063,0.06,0.044,0.027,0.018,0.01,0.435,0.341,0.16,0.359,0.257,0.129,0.133,0.132,0.135,0.185,0.169,0.117
202412,예술센터,16940743,더페이지갤러리,서울특별시,성동구,성수동1가,서울특별시 성동구 서울숲2길 32-14,127.0429416,37.5455237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054,0.161,0.13,0.092,0.035,0.01,0.09,0.155,0.096,0.072,0.025,0.009,0.029,0.437,0.304,0.187,258.868,741.132,104.668,119.151,175.648,243.635,211.529,111.814,229.822,366.027,88.71,60.447,214.253,456.99,145.438,299.252,161.995,115.152,23.795,24.235,327.779,396.815,651.387,0.273,0.727,0.006,0.003,0.002,0.001,0.001,0.001,0.004,0.012,0.037,0.039,0.038,0.078,0.154,0.119,0.082,0.07,0.062,0.059,0.064,0.062,0.047,0.029,0.018,0.011,0.428,0.337,0.155,0.355,0.255,0.166,0.172,0.132,0.14,0.145,0.116,0.128
202501,예술센터,16940743,더페이지갤러리,서울특별시,성동구,성수동1가,서울특별시 성동구 서울숲2길 32-14,127.0429416,37.5455237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054,0.167,0.135,0.096,0.038,0.01,0.082,0.152,0.093,0.072,0.026,0.01,0.023,0.429,0.305,0.201,252.917,747.083,100.45,116.319,177.372,245.804,221.514,114.517,222.855,368.984,91.474,59.961,211.997,456.61,144.328,299.725,161.771,115.942,25.46,25.382,324.18,403.624,646.74,0.325,0.675,0.006,0.003,0.002,0.001,0.001,0.002,0.003,0.012,0.035,0.037,0.037,0.078,0.156,0.117,0.081,0.072,0.065,0.058,0.068,0.06,0.047,0.028,0.018,0.011,0.425,0.344,0.153,0.354,0.263,0.127,0.127,0.147,0.169,0.192,0.132,0.106
202502,예술센터,16940743,더페이지갤러리,서울특별시,성동구,성수동1가,서울특별시 성동구 서울숲2길 32-14,127.0429416,37.5455237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056,0.163,0.137,0.095,0.038,0.01,0.083,0.155,0.093,0.072,0.025,0.009,0.022,0.428,0.31,0.195,257.641,742.359,100.806,116.497,178.045,243.79,217.234,110.717,223.134,365.253,90.457,59.511,212.76,452.104,146.943,297.337,188.758,114.591,24.579,24.506,324.945,395.684,651.116,0.245,0.755,0.005,0.003,0.002,0.001,0.001,0.001,0.003,0.013,0.037,0.038,0.038,0.082,0.16,0.12,0.079,0.07,0.061,0.058,0.065,0.061,0.046,0.028,0.018,0.01,0.437,0.332,0.157,0.359,0.253,0.14,0.148,0.147,0.155,0.166,0.133,0.112
202503,예술센터,16940743,더페이지갤러리,서울특별시,성동구,성수동1가,서울특별시 성동구 서울숲2길 32-14,127.0429416,37.5455237,11465.49,0.54,0.46,0.0055,0.53,0.47,0.45,0.55,0.26,0.35,0.39,0.0,0.0,0.4,0.36,0.17,0.0,0.0,0.04,0.02,0.08,0.08,0.15,0.11,0.1,0.1,0.08,0.09,0.07,0.04,0.03,0.03,0.29,0.14,0.05,0.73,0.27,0.23,0.64,0.78,0.89,0.67,0.63,1.1,1.46,0.056,0.165,0.131,0.089,0.037,0.009,0.088,0.156,0.093,0.069,0.024,0.008,0.033,0.424,0.308,0.192,266.979,733.021,102.874,119.918,180.692,239.84,211.171,108.929,227.604,365.58,89.532,59.898,211.381,449.109,146.783,298.618,187.813,113.977,25.408,25.173,328.481,403.783,654.469,0.332,0.668,0.006,0.003,0.002,0.001,0.001,0.002,0.003,0.012,0.035,0.038,0.037,0.076,0.154,0.118,0.086,0.074,0.066,0.06,0.067,0.063,0.045,0.027,0.017,0.01,0.423,0.352,0.15,0.358,0.266,0.15,0.123,0.131,0.134,0.152,0.172,0.137
202504,예술센터,16940743,더페이지갤러리,서울특별시,성동구,성수동1가,서울특별시 성동구 서울숲2길 32-14,127.0429416,37.5455237,21081.09,0.58,0.42,0.0155,0.62,0.38,0.44,0.56,0.24,0.36,0.4,0.03,0.05,0.38,0.38,0.17,0.01,0.0,0.04,0.02,0.09,0.06,0.13,0.11,0.12,0.1,0.09,0.07,0.06,0.03,0.04,0.03,0.27,0.16,0.06,0.73,0.27,0.18,0.67,0.71,0.75,0.64,0.64,1.12,1.52,0.052,0.159,0.123,0.085,0.034,0.009,0.088,0.162,0.095,0.072,0.027,0.01,0.037,0.428,0.303,0.185,265.354,734.646,100.633,121.645,182.56,238.858,209.162,109.565,239.75,362.803,89.532,59.898,211.381,449.109,146.783,298.618,187.813,113.977,25.408,25.173,326.206,398.195,658.025,0.247,0.753,0.005,0.002,0.001,0.001,0.001,0.001,0.003,0.012,0.037,0.037,0.038,0.078,0.159,0.119,0.084,0.073,0.065,0.059,0.066,0.062,0.045,0.027,0.016,0.009,0.431,0.347,0.153,0.362,0.263,0.127,0.16,0.171,0.14,0.155,0.119,0.128
202408,예술센터,18364166,갤러리쿰,서울특별시,성동구,성수동2가,서울특별시 성동구 성수일로12길 20,127.0531134,37.5482667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,0.178,0.129,0.09,0.035,0.008,0.094,0.148,0.084,0.065,0.02,0.007,0.031,0.468,0.295,0.158,282.023,717.977,113.173,120.199,167.452,230.103,200.054,103.327,211.349,366.006,86.304,58.825,198.052,430.002,142.431,280.345,158.782,114.385,19.23,19.99,321.426,390.895,656.311,0.241,0.759,0.006,0.003,0.002,0.001,0.001,0.002,0.005,0.015,0.048,0.043,0.038,0.084,0.165,0.108,0.069,0.062,0.056,0.055,0.065,0.062,0.049,0.03,0.019,0.011,0.439,0.307,0.166,0.342,0.238,0.137,0.143,0.143,0.172,0.19,0.131,0.085
202409,예술센터,18364166,갤러리쿰,서울특별시,성동구,성수동2가,서울특별시 성동구 성수일로12길 20,127.0531134,37.5482667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.063,0.174,0.127,0.087,0.034,0.009,0.097,0.149,0.085,0.063,0.02,0.007,0.039,0.461,0.297,0.157,285.056,714.944,111.673,121.991,168.03,228.447,195.826,101.753,215.323,362.063,86.259,60.108,200.158,436.547,142.983,285.957,161.263,114.606,22.16,22.017,324.04,393.879,661.235,0.304,0.696,0.007,0.003,0.002,0.001,0.001,0.002,0.005,0.014,0.044,0.041,0.038,0.083,0.162,0.109,0.072,0.066,0.059,0.055,0.065,0.063,0.048,0.03,0.018,0.012,0.432,0.317,0.162,0.342,0.245,0.17,0.131,0.139,0.151,0.154,0.122,0.132
202410,예술센터,18364166,갤러리쿰,서울특별시,성동구,성수동2가,서울특별시 성동구 성수일로12길 20,127.0531134,37.5482667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062,0.17,0.125,0.086,0.034,0.007,0.099,0.152,0.086,0.064,0.02,0.006,0.041,0.462,0.293,0.157,286.118,713.882,112.159,122.482,169.845,229.735,196.048,101.986,218.334,362.482,86.303,59.882,200.798,431.26,144.198,282.674,158.943,114.184,22.966,22.232,325.802,391.063,663.477,0.297,0.703,0.006,0.003,0.002,0.001,0.001,0.001,0.005,0.014,0.043,0.04,0.037,0.079,0.161,0.113,0.077,0.067,0.061,0.057,0.067,0.06,0.047,0.029,0.018,0.01,0.43,0.328,0.156,0.351,0.251,0.133,0.162,0.172,0.174,0.146,0.119,0.094
202411,예술센터,18364166,갤러리쿰,서울특별시,성동구,성수동2가,서울특별시 성동구 성수일로12길 20,127.0531134,37.5482667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061,0.172,0.127,0.089,0.033,0.008,0.094,0.152,0.084,0.063,0.02,0.006,0.043,0.456,0.291,0.161,281.951,718.049,109.237,121.725,170.358,231.606,198.786,103.421,214.74,366.42,86.257,60.051,202.564,438.876,143.162,277.465,162.121,114.393,25.258,23.902,321.96,391.475,660.578,0.247,0.753,0.006,0.003,0.002,0.001,0.001,0.002,0.005,0.014,0.043,0.042,0.038,0.084,0.166,0.114,0.076,0.067,0.059,0.054,0.063,0.059,0.046,0.028,0.017,0.01,0.445,0.319,0.165,0.357,0.243,0.135,0.139,0.141,0.145,0.193,0.15,0.097
202412,예술센터,18364166,갤러리쿰,서울특별시,성동구,성수동2가,서울특별시 성동구 성수일로12길 20,127.0531134,37.5482667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.059,0.167,0.125,0.091,0.033,0.008,0.098,0.146,0.089,0.068,0.02,0.007,0.039,0.458,0.293,0.16,277.861,722.139,105.858,120.042,165.79,236.997,205.865,107.176,219.694,363.843,87.055,59.76,206.449,435.523,143.505,288.444,161.625,114.215,22.916,22.303,323.248,395.667,656.307,0.254,0.746,0.006,0.003,0.002,0.001,0.001,0.001,0.005,0.014,0.042,0.04,0.035,0.082,0.161,0.114,0.078,0.067,0.061,0.056,0.063,0.06,0.048,0.029,0.017,0.011,0.432,0.326,0.156,0.354,0.248,0.172,0.176,0.133,0.144,0.148,0.109,0.118
202501,예술센터,18364166,갤러리쿰,서울특별시,성동구,성수동2가,서울특별시 성동구 성수일로12길 20,127.0531134,37.5482667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.171,0.126,0.095,0.035,0.009,0.094,0.146,0.086,0.069,0.022,0.008,0.033,0.454,0.298,0.166,278.423,721.577,103.283,118.333,165.653,235.928,214.405,110.073,216.25,365.599,89.392,59.455,202.819,435.364,143.096,290.089,161.596,114.731,22.972,22.32,321.253,403.797,654.577,0.299,0.701,0.006,0.003,0.002,0.001,0.001,0.001,0.004,0.014,0.04,0.038,0.035,0.082,0.164,0.113,0.077,0.068,0.063,0.058,0.068,0.06,0.047,0.028,0.017,0.01,0.431,0.335,0.154,0.354,0.258,0.134,0.133,0.147,0.173,0.196,0.12,0.097
202502,예술센터,18364166,갤러리쿰,서울특별시,성동구,성수동2가,서울특별시 성동구 성수일로12길 20,127.0531134,37.5482667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062,0.169,0.128,0.091,0.034,0.008,0.097,0.147,0.087,0.066,0.02,0.007,0.032,0.457,0.297,0.164,283.023,716.977,102.742,119.783,168.105,234.749,209.823,104.301,216.355,361.64,88.106,59.203,204.364,432.414,145.67,287.828,189.218,113.448,22.216,21.632,321.694,395.383,660.523,0.221,0.779,0.005,0.003,0.001,0.001,0.001,0.001,0.005,0.015,0.042,0.039,0.035,0.085,0.171,0.114,0.074,0.066,0.059,0.058,0.066,0.06,0.046,0.027,0.016,0.009,0.444,0.323,0.159,0.359,0.249,0.145,0.152,0.152,0.161,0.169,0.122,0.099
202503,예술센터,18364166,갤러리쿰,서울특별시,성동구,성수동2가,서울특별시 성동구 성수일로12길 20,127.0531134,37.5482667,20822.2,0.45,0.55,0.0256,0.71,0.29,0.5,0.5,0.29,0.35,0.36,0.0,0.0,0.44,0.33,0.18,0.0,0.0,0.02,0.02,0.11,0.09,0.11,0.13,0.05,0.12,0.06,0.1,0.04,0.07,0.04,0.03,0.19,0.23,0.04,0.77,0.23,0.55,0.73,0.72,0.71,0.65,0.51,1.28,1.13,0.061,0.168,0.122,0.089,0.033,0.008,0.097,0.149,0.084,0.064,0.02,0.007,0.051,0.449,0.29,0.162,289.141,710.859,104.07,122.026,169.229,230.906,204.809,103.214,218.2,364.339,87.594,59.422,202.671,428.473,145.532,288.632,188.648,113.274,23.202,22.507,326.067,398.016,662.963,0.298,0.702,0.006,0.003,0.002,0.001,0.001,0.001,0.005,0.014,0.039,0.039,0.035,0.083,0.162,0.113,0.078,0.07,0.061,0.06,0.067,0.061,0.046,0.028,0.017,0.01,0.431,0.337,0.156,0.353,0.258,0.156,0.132,0.138,0.142,0.156,0.157,0.12
